fecha,tweet
2018-06-03 16:09:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:08:11,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:08:11,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:08:10,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:07:04,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:07:03,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:07:02,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:06:04,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:06:04,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:06:03,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
